old_path,new_path,kind,reason
docs/reports/probe0.md,experiments/01-souffle-negation-behaviour.md,report,user-specified name (REPOSITORY RESTRUCTURE table)
docs/reports/probe0_5.md,experiments/02-output-forces-materialization.md,report,user-specified name
docs/reports/probe0_6.md,experiments/03-completeness-counterexample-search.md,report,user-specified name
docs/NIGHT_LOG.md,experiments/04-night01-session-log.md,session_wrapper,"named alongside night01-summary.md as a session wrapper in the spec's Phase 4 text (""night01-summary.md, NIGHT_LOG.md, etc.""); content folds into docs/project-log.md, file moves unedited with a distinguishing -session-log suffix (it is a raw append-only line log, not a narrative summary like the *-summary.md files)"
docs/reports/night01-T1-audit.md,experiments/05-provenance-and-determinism-audit.md,report,not in user's 25-item table; content-named from its own header and NIGHT_LOG.md's T1 entry
docs/reports/night01-T2-corpus.md,experiments/06-corpus-scale-survey.md,report,user-specified name; renumbered 04->06 to interleave unmapped files chronologically
docs/reports/night01-T3-envelope.md,experiments/07-recoverable-envelope-sweep.md,report,not in user's 25-item table; content-named from its own header (""T3: recoverable-envelope sweep"")
docs/reports/night01-T4-exploratory.md,experiments/08-whole-tree-exploratory-sweep.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night01-T5-grammar.md,experiments/09-grammar-coverage-census.md,report,user-specified name
docs/reports/night01-T6-scaling.md,experiments/10-guard-scaling-first-measurement.md,report,user-specified name
docs/reports/night01-T7-harness.md,experiments/11-m1-harness-buildout.md,report,not in user's 25-item table; content-named from its own header (""T7: M1 harness build-out"")
docs/reports/night01-summary.md,experiments/12-night01-session-summary.md,session_wrapper,session wrapper per spec Phase 4; content folds into docs/project-log.md; -session-summary suffix per spec
docs/reports/corpus-ruling-2026-08-21.md,experiments/13-corpus-split-ruling.md,report,user-specified name
docs/reports/openrulebench-preregistration.md,experiments/14-openrulebench-unobtainable.md,report,"user-specified name and position (listed as item 10, after T0-version-risk/doop-attempt); by git-add timestamp this file was actually committed same-commit as corpus-ruling-2026-08-21 (08-21), earlier than T0-version-risk/doop-attempt (08-22) -- kept adjacent to corpus-ruling per real chronology instead of the user table's position, deviation noted per Phase 1 instructions"
docs/reports/subsumption-repro.md,experiments/15-souffle-subsumption-bug.md,report,"user-specified name; same chronology deviation as row above (real timestamp same-commit as corpus-ruling-2026-08-21, 08-21, earlier than the user table's implied position after T0-version-risk/doop-attempt)"
docs/reports/T0-version-risk.md,experiments/16-souffle-version-risk.md,report,user-specified name
docs/reports/corpus-ruling-v1.5.md,experiments/17-corpus-closed-version-risk-opened.md,report,not in user's 25-item table; content-named from its own header (""Ruling: corpus closed, version risk opened"")
docs/reports/doop-attempt.md,experiments/18-doop-abandoned.md,report,user-specified name
docs/reports/J1-allowedness-probe.md,experiments/19-allowedness-probe.md,report,not in user's 25-item table; content-named from its own header
docs/reports/J2-m1-gates.md,experiments/20-m1-gates-from-harness.md,report,not in user's 25-item table; content-named from its own header (""J2 -- M1 gates, finished from NIGHT-BATCH-01 T7"")
docs/reports/night02-T1-allowedness.md,experiments/21-allowedness-derivation.md,report,user-specified name
docs/reports/night02-T3-fixtures.md,experiments/22-benchmark-family-fixture-generation.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night02-T4-baseline.md,experiments/23-baseline-sweep.md,report,not in user's 25-item table; content-named from its own header (shortened from full T_none/T_souffle/E_recoverable title)
docs/reports/night02-T5-guarded.md,experiments/24-hand-guard-benchmark-family.md,report,user-specified name
docs/reports/night02-T6-scaling-crossshape.md,experiments/25-cross-shape-scaling-analysis.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night02-T2-hostile.md,experiments/26-hostile-source-corpus.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night02-T8-grammar-census.md,experiments/27-grammar-usage-census.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night02-T9-diagnostics.md,experiments/28-souffle-diagnostic-catalogue.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night02-T7-p5-precheck.md,experiments/29-cone-collapse-observed.md,report,user-specified name
docs/reports/night02-summary.md,experiments/30-night02-session-summary.md,session_wrapper,session wrapper per spec Phase 4; content folds into docs/project-log.md
docs/reports/m1-progress.md,experiments/31-m1-front-end-and-evaluators.md,report,user-specified name
docs/reports/verify-01.md,experiments/32-verification-pass.md,report,"user-specified name; file was untracked all session (deliberately, per standing practice) -- newly added to git as part of this move, noted in the Phase 3 commit and restructure-notes.md; NOT duplicated as a specs/ build plan (see specs/README.md -- no separate directing spec exists for this pass, it was Lane B initiative)"
docs/reports/night03-T1-printer-souffle.md,experiments/33-printer-output-souffle-parseable.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night03-T3-m2-harness.md,experiments/34-m2-acceptance-harness.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night03-T2-protocol.md,experiments/35-m3-measurement-protocol.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night03-T4-culprit-corpus.md,experiments/36-culprit-cycle-source-corpus.md,report,not in user's 25-item table; content-named from its own header
docs/reports/night03-T5-ancestor-seed.md,experiments/37-ancestor-seed-prediction-falsified.md,report,user-specified name
